>
101.92800 30.68035
101.95460 30.64231
102.01780 30.58224
>
102.13340 28.85160
102.10430 28.79475
102.07800 28.72096
102.05080 28.65612
102.01410 28.57085
101.98850 28.51242
101.95420 28.42550
101.93560 28.38104
101.91600 28.33652
101.89720 28.28395
101.87200 28.22284
101.83660 28.15925
101.81000 28.11334
101.79210 28.07342
101.78190 28.05113
101.78190 28.05113
>
101.93490 28.29458
101.94310 28.30683
101.96110 28.32603
101.98370 28.35095
102.00450 28.37304
102.03820 28.40317
102.06330 28.42553
102.08120 28.44561
102.08980 28.45427
102.08980 28.45427
